lemma output 
Sadly --> Sadly
dynamic --> dynamic
tenuous --> tenuous
20some --> 20some
ridiculous --> ridiculous
votes --> vote
instructor --> instructor
Watch --> Watch
Western --> Western
under --> under
teaching --> teach
sorry --> sorry
pride --> pride
@ --> @
swivel --> swivel
risk --> risk
blanket --> blanket
every --> every
cloth/rubber --> cloth/rubber
Dont --> Dont
school --> school
basics --> basics
skills --> skills
venue --> venue
Feel --> Feel
unrelated --> unrelated
guiding --> guide
Go --> Go
enjoy --> enjoy
force --> force
reply/message --> reply/message
consistent --> consistent
direct --> direct
second --> second
implemented --> implement
machines --> machine
even --> even
fingers --> finger
Yair --> Yair
above --> above
designing --> design
Put --> Put
new --> new
ever --> ever
told --> tell
agreement --> agreement
men --> men
here --> here
met --> meet
studio --> studio
active --> active
jams --> jam
changed --> change
fulltime --> fulltime
Prana --> Prana
unwanted --> unwanted
changer --> changer
/r/flexibility --> /r/flexibility
mobility --> mobility
equipment/ --> equipment/
Also --> Also
//media.giphy.com/media/7rj2ZgttvgomY/giphy.gif --> //media.giphy.com/media/7rj2ZgttvgomY/giphy.gif
Star --> Star
would --> would
arms --> arm
call --> call
recommend --> recommend
tell --> tell
swap --> swap
abusing --> abuse
posting --> post
holy --> holy
successful --> successful
brings --> bring
haha --> haha
training --> train
biomechanical --> biomechanical
hurt --> hurt
certifications --> certifications
hold --> hold
95 --> 95
must --> must
me --> me
word --> word
room --> room
Meetup.com --> Meetup.com
setup --> setup
work --> work
genitalia --> genitalia
pidgeon --> pidgeon
my --> my
example --> example
Standing --> Standing
loosen --> loosen
Venturing --> Venturing
give --> give
Li --> Li
want --> want
peoples --> people
organizer --> organizer
//jomcrae.co.uk/wp-content/uploads/2013/06/HamstringsStrapBentLeg-640x4801-400x300.jpg --> //jomcrae.co.uk/wp-content/uploads/2013/06/HamstringsStrapBentLeg-640x4801-400x300.jpg
answers --> answer
absolute --> absolute
end --> end
travel --> travel
machine --> machine
far --> far
amazing --> amaze
widespread --> widespread
if --> if
charging --> charge
20no --> 20no
A --> A
doable --> doable
coined --> coin
after --> after
Will --> Will
mesh --> mesh
//github.com/AUTplayed/imguralbumbot/blob/master/README.md --> //github.com/AUTplayed/imguralbumbot/blob/master/README.md
parallel --> parallel
types --> type
purchase --> purchase
All --> All
attempt --> attempt
third --> third
appreciate --> appreciate
Japanese --> Japanese
neglect --> neglect
hamstrings --> hamstring
upside --> upside
Another --> Another
keeps --> keep
worst --> worst
Festivals --> Festivals
order --> order
PNF --> PNF
feedback --> feedback
consent --> consent
over --> over
partnered --> partner
satisfies --> satisfy
before --> before
Hip --> Hip
10.2 --> 10.2
fit --> fit
personal --> personal
, --> ,
Here --> Here
better --> better
400 --> 400
litigous --> litigous
easier --> easier
confidently --> confidently
split --> split
then --> then
them --> them
Ditto --> Ditto
prefer --> prefer
Challenge --> Challenge
safe --> safe
break --> break
band --> band
message=ignoreme --> message=ignoreme
repulsive --> repulsive
they --> they
velcro --> velcro
yourself --> yourself
lifelong --> lifelong
structural --> structural
**wierd** --> **wierd**
Vuori --> Vuori
reasonably --> reasonably
l --> l
grows --> grow
reasonable --> reasonable
flyers --> flyers
went --> go
Check --> Check
bone --> bone
luck --> luck
series --> series
Wow --> Wow
Anyone --> Anyone
carry --> carry
taught --> teach
juggling --> juggle
Copying --> Copying
forgot --> forget
gon --> gon
stunting --> stunt
Holy --> Holy
100-200 --> 100-200
god --> god
Haha --> Haha
companies --> company
Warm --> Warm
got --> get
perception --> perception
Work --> Work
little --> little
